Flight Number,Departure,Arrival,Aircraft,Flight Time,Airline
AA1856,KPHL,KBOS,"A319, A320",00:50,American Airlines
AA567,KPHX,KBOS,A321,04:45,American Airlines
AA5762,KROC,KBOS,CRJ2,00:55,American Airlines
AA3707,KSTL,KBOS,E175,02:15,American Airlines
AA5873,KSYR,KBOS,CRJ2,00:50,American Airlines
AA1399,KDCA,KBOS,"A319, E175",01:00,American Airlines
AA1553,MMUN,KCVG,B738,02:40,American Airlines
AA2914,MMUN,KCMH,B738,02:50,American Airlines
AA2924,MMUN,KIND,B738,02:45,American Airlines
AA2893,MMUN,KMCI,B738,02:50,American Airlines
AA1306,MMUN,KBNA,B738,02:30,American Airlines
AA656,MMUN,KOKC,A321,02:30,American Airlines
AA2619,MMUN,KPIT,A321,03:10,American Airlines
AA2756,MMUN,KSTL,B738,02:40,American Airlines
AA1553,KCVG,MMUN,B738,02:50,American Airlines
AA745,KCMH,MMUN,B738,02:50,American Airlines
AA2895,KIND,MMUN,B738,02:45,American Airlines
AA2913,KMCI,MMUN,B738,02:50,American Airlines
AA1306,KBNA,MMUN,B738,02:30,American Airlines
AA655,KOKC,MMUN,A321,02:30,American Airlines
AA2593,KPIT,MMUN,A321,02:55,American Airlines
AA2796,KSTL,MMUN,B738,02:40,American Airlines
AA5096,KCLT,KCAK,CRJ9,01:00,American Airlines
AA836,KCLT,KALB,A320,01:30,American Airlines
AA5052,KCLT,KABE,CRJ9,01:10,American Airlines
AA2440,KCLT,TAPA,A319,04:10,American Airlines
AA3302,KCLT,KATW,E175,01:40,American Airlines
AA874,KCLT,TNCA,B38M,03:35,American Airlines
AA3743,KCLT,KAVL,E175,00:35,American Airlines
AA6375,KCLT,KASE,CRJ7,03:45,American Airlines
AA326,KCLT,LGAV,B772,10:05,American Airlines
AA638,KCLT,KATL,"A319, B38M",01:24,American Airlines
AA3863,KCLT,KAGS,E175,01:16,American Airlines
AA2411,KCLT,KBWI,"A321, B38M",01:19,American Airlines
AA5131,KCLT,KBTR,CRJ9,01:30,American Airlines
AA1075,KCLT,MZBZ,A320,02:45,American Airlines
AA1524,KCLT,KXNA,A320,02:10,American Airlines
AA855,KCLT,TXKF,A319,02:05,American Airlines
AA1484,KCLT,KBHM,A319,01:20,American Airlines
AA6111,KCLT,KTRI,CRJ9,01:00,American Airlines
AA1737,KCLT,KBZN,B38M,02:55,American Airlines
AA989,KCLT,TBPB,A320,04:15,American Airlines
AA703,KCLT,KBUF,"A319, A321",01:15,American Airlines
AA5225,KCLT,KBTV,CRJ9,01:40,American Airlines
AA2626,KCLT,CYYC,B38M,04:10,American Airlines
AA881,KCLT,MMUN,A321,02:15,American Airlines
AA301,KCLT,MWCR,B738,02:20,American Airlines
AA1038,KCLT,KCID,A320,02:05,American Airlines
AA1426,KCLT,KCHS,"A319, A320, B38M",00:40,American Airlines
AA5263,KCLT,KCRW,CRJ9,00:57,American Airlines
AA5929,KCLT,KCHO,CRJ7,01:04,American Airlines
AA5406,KCLT,KCHA,CRJ-9,00:59,American Airlines
AA2307,KCLT,KORD,"B738, B38M",02:15,American Airlines
AA810,KCLT,KCVG,A319,01:15,American Airlines
AA585,KCLT,KCLE,"B738, A321, A320, B38M",01:40,American Airlines
AA8820,KCLT,KCAE,CRJ9,00:25,American Airlines
AA813,KCLT,KCMH,"A319, A320, CRJ9",00:55,American Airlines
AA1585,KCLT,MMCZ,B738,02:20,American Airlines
AA771,KCLT,TNCC,B738,03:40,American Airlines
AA422,KCLT,KDFW,"A320, A319, A321",02:50,American Airlines
AA5396,KCLT,KDAY,CRJ9,01:48,American Airlines
AA1031,KCLT,KDAB,"A319, CRJ9",01:00,American Airlines
AA459,KCLT,KDEN,A321,01:50,American Airlines
AA2197,KCLT,KVPS,"A319, B38M",01:46,American Airlines
AA825,KCLT,KDSM,"A319, A320",02:10,American Airlines
AA370,KCLT,KDTW,A319,01:55,American Airlines
AA5681,KCLT,KERI,CRJ7,01:05,American Airlines
AA5755,KCLT,KEVV,CRJ7,01:00,American Airlines
AA5133,KCLT,KFAY,CRJ7,00:35,American Airlines
AA5811,KCLT,KFLO,CRJ7,00:30,American Airlines
AA321,KCLT,KFLL,A321,01:25,American Airlines
AA1094,KCLT,KRSW,A320,01:45,American Airlines
AA5951,KCLT,KFWA,CRJ7,01:05,American Airlines
AA704,KCLT,EDDF,B772,08:45,American Airlines
AA5467,KCLT,MYGF,E175,01:25,American Airlines
AA6005,KCLT,KGNV,CRJ7,01:30,American Airlines
AA2878,KCLT,MYEF,E175,01:55,American Airlines
AA1685,KCLT,KGRR,A319,01:45,American Airlines
AA3799,KCLT,KGSO,E175,00:30,American Airlines
AA5614,KCLT,KPGV,CRJ9,01:00,American Airlines
AA876,KCLT,KGSP,A319,00:40,American Airlines
AA2340,KCLT,TGPY,B738,04:10,American Airlines
AA2573,KCLT,MMGL,"A321, B738",04:00,American Airlines
AA5533,KCLT,KGPT,CRJ9,02:05,American Airlines
AA3402,KCLT,KHXD,E175,01:00,American Airlines
AA1462,KCLT,KIAH,"B738, A321",02:35,American Airlines
AA5955,KCLT,KHTS,CRJ200,01:10,American Airlines
AA6028,KCLT,KHSV,CRJ9,01:25,American Airlines
AA1589,KCLT,KIND,"B738, A321, B38M",01:00,American Airlines
AA687,KCLT,KJAC,A319,03:55,American Airlines
AA5449,KCLT,KJAN,CRJ7,02:10,American Airlines
AA746,KCLT,KJAX,"A321, B38M",00:55,American Airlines
AA5971,KCLT,KOAJ,CRJ7,01:05,American Airlines
AA964,KCLT,KMCI,"B738, A321, B38M",01:45,American Airlines
AA642,KCLT,KEYW,"E175, A319",01:40,American Airlines
AA549,KCLT,KTYS,A319,00:55,American Airlines
AA5315,KCLT,KLFT,CRJ7,01:35,American Airlines
AA445,KCLT,KLAS,"A321, B38M",04:00,American Airlines
AA5085,KCLT,KLEX,CRJ9,00:50,American Airlines
AA1151,KCLT,MRLB,B738,03:35,American Airlines
AA440,KCLT,KLIT,A319,02:10,American Airlines
AA730,KCLT,EGLL,B772,07:45,American Airlines
AA352,KCLT,KLAX,A321,05:15,American Airlines
AA1364,KCLT,KSDF,CRJ9,01:20,American Airlines
AA5736,KCLT,KLYH,CRJ7,00:40,American Airlines
AA1363,KCLT,KMSN,A319,02:00,American Airlines
AA748,KCLT,LEMD,B772,08:20,American Airlines
AA5033,KCLT,KMHT,CRJ9,02:05,American Airlines
AA3844,KCLT,MYAM,E175,01:25,American Airlines
AA2291,KCLT,KMEM,"B738, B38M",01:40,American Airlines
AA829,KCLT,MMMX,B38M,03:15,American Airlines
AA439,KCLT,KMIA,"B738, B38M, A321, B772",01:30,American Airlines
AA1642,KCLT,KMDT,A319,01:25,American Airlines
AA1821,KCLT,KMKE,A319,02:10,American Airlines
AA2041,KCLT,KMSP,B738,02:00,American Airlines
AA6034,KCLT,KMOB,CRJ7,01:55,American Airlines
AA5402,KCLT,KMLI,CRJ9,01:40,American Airlines
AA875,KCLT,MKJS,A321,02:30,American Airlines
AA5849,KCLT,KMGM,CRJ7,01:00,American Airlines
AA5029,KCLT,CYUL,CRJ9,01:45,American Airlines
AA716,KCLT,EDDM,B772,08:35,American Airlines
AA1188,KCLT,KMYR,"A319, CRJ9, B38M",00:40,American Airlines
AA526,KCLT,KBNA,"B738, CRJ9, B38M",00:55,American Airlines
AA859,KCLT,MYNN,B738,01:40,American Airlines
AA6056,KCLT,KEWN,CRJ7,01:05,American Airlines
AA607,KCLT,KMSY,"A321, CRJ9",02:10,American Airlines
AA327,KCLT,KJFK,"A319, A321, B738, B38M",02:00,American Airlines
AA1722,KCLT,KLGA,"A319, B738, A321, B38M",01:55,American Airlines
AA1216,KCLT,KEWR,"B738, A321, A320, B38M",01:45,American Airlines
AA5938,KCLT,KPHF,CRJ7,01:10,American Airlines
AA1166,KCLT,KORF,"A320, B38M",01:25,American Airlines
AA5267,KCLT,MYEH,CRJ9,02:20,American Airlines
AA768,KCLT,KOAK,A320,02:50,American Airlines
AA2273,KCLT,KOKC,"A321, A320",02:50,American Airlines
AA1003,KCLT,KOMA,B738,02:00,American Airlines
AA2103,KCLT,KONT,A321,04:20,American Airlines
AA5311,KCLT,KMLB,CRJ9,01:10,American Airlines
AA612,KCLT,KMCO,A321,01:05,American Airlines
AA1314,KCLT,KPBI,B738,01:55,American Airlines
AA418,KCLT,KPSP,A321,04:35,American Airlines
AA1029,KCLT,KECP,"E175, A319",01:05,American Airlines
AA2325,KCLT,KPNS,A319,01:10,American Airlines
AA5360,KCLT,KPIA,CRJ9,01:25,American Airlines
AA341,KCLT,KPHL,"A320, A321",01:05,American Airlines
AA588,KCLT,KPHX,"A321, B38M",03:40,American Airlines
AA1749,KCLT,KPIT,A321,01:00,American Airlines
AA1849,KCLT,KPDX,A321,05:30,American Airlines
AA2330,KCLT,KPWM,A321,01:45,American Airlines
AA1254,KCLT,KPVD,"A319, A321",01:30,American Airlines
AA879,KCLT,MBPV,A321,02:20,American Airlines
AA512,KCLT,MDPP,B738,02:40,American Airlines
AA1375,KCLT,MDPC,B738,02:55,American Airlines
AA5223,KCLT,CYQB,CRJ9,02:05,American Airlines
AA1904,KCLT,KRDU,B738,01:00,American Airlines
AA993,KCLT,KRIC,"A321, B738, B38M",00:50,American Airlines
AA5715,KCLT,KROA,CRJ7,00:40,American Airlines
AA1918,KCLT,KROC,A319,01:55,American Airlines
AA2446,KCLT,KSMF,A321,04:40,American Airlines
AA3073,KCLT,TVSA,B738,04:00,American Airlines
AA5973,KCLT,KSBY,CRJ200,01:20,American Airlines
AA508,KCLT,KSLC,A321,03:30,American Airlines
AA543,KCLT,KSAT,"A319, A321",02:20,American Airlines
AA465,KCLT,KSAN,A321,04:20,American Airlines
AA430,KCLT,KSFO,A321,04:45,American Airlines
AA1209,KCLT,MROC,B38M,04:20,American Airlines
AA2676,KCLT,MMSD,B738,04:00,American Airlines
AA783,KCLT,TJSJ,A321,03:05,American Airlines
AA358,KCLT,KSNA,B38M,04:20,American Airlines
AA2675,KCLT,KSRQ,A319,01:45,American Airlines
AA404,KCLT,KSAV,A319,00:45,American Airlines
AA867,KCLT,KAVP,"A319, A320, CRJ9",01:10,American Airlines
AA1599,KCLT,KSEA,A321,05:45,American Airlines
AA5570,KCLT,KSHV,CRJ9,02:35,American Airlines
AA2478,KCLT,TNCM,A319,03:25,American Airlines
AA5189,KCLT,KSBN,CRJ9,01:45,American Airlines
AA196,KCLT,KGEG,A321,04:30,American Airlines
AA3883,KCLT,KSGF,E175,01:45,American Airlines
AA2502,KCLT,TISX,B738,03:20,American Airlines
AA699,KCLT,TKPK,A319,04:05,American Airlines
AA1007,KCLT,KSTL,A319,02:05,American Airlines
AA823,KCLT,TLPL,A319,04:00,American Airlines
AA1195,KCLT,TIST,A319,03:15,American Airlines
AA1348,KCLT,KSYR,A320,01:20,American Airlines
AA9950,KCLT,KTLH,CRJ9,01:05,American Airlines
AA436,KCLT,KTPA,A321,01:10,American Airlines
AA5020,KCLT,CYYZ,CRJ9,01:20,American Airlines
AA2662,KCLT,KTUL,B738,02:35,American Airlines
AA1817,KCLT,CYVR,A321,05:20,American Airlines
AA1782,KCLT,KIAD,A319,01:20,American Airlines
AA400,KCLT,KDCA,"A319, B38M",01:40,American Airlines
AA5152,KCLT,KHPN,CRJ7,02:05,American Airlines
AA1064,KCLT,KILM,A319,00:40,American Airlines
AA1736,KCLT,KBDL,B738,01:50,American Airlines
AA5084,KCAK,KCLT,CRJ9,01:00,American Airlines
AA440,KALB,KCLT,A320,01:30,American Airlines
AA5052,KABE,KCLT,CRJ9,01:10,American Airlines
AA2572,TAPA,KCLT,A319,04:10,American Airlines
AA3304,KATW,KCLT,E175,01:40,American Airlines
AA874,TNCA,KCLT,B38M,03:35,American Airlines
AA3743,KAVL,KCLT,E175,00:35,American Airlines
AA6408,KASE,KCLT,CRJ7,03:10,American Airlines
AA326,LGAV,KCLT,B772,10:55,American Airlines
