Flight Number,Departure,Arrival,Aircraft,Flight Time,Airline
AA1208,KBUR,KDFW,B738,02:35,American Airlines
AA2517,CYYC,KDFW,A319,03:15,American Airlines
AA316,MMUN,KDFW,B789,02:41,American Airlines
AA355,MWCR,KDFW,"A321, B738",02:55,American Airlines
AA640,KCID,KDFW,A319,01:56,American Airlines
AA3924,KCMI,KDFW,E175,01:35,American Airlines
AA2185,KCHS,KDFW,B738,02:48,American Airlines
AA3519,KCHA,KDFW,E175,01:59,American Airlines
AA3156,MMCU,KDFW,CRJ7,01:35,American Airlines
AA1568,KCVG,KDFW,B738,02:39,American Airlines
AA525,KCLE,KDFW,A321,03:02,American Airlines
AA3346,KCLL,KDFW,E175,00:45,American Airlines
AA1510,KCOS,KDFW,B738,01:45,American Airlines
AA2413,KCAE,KDFW,A319,02:48,American Airlines
AA3525,KCOU,KDFW,E175,01:10,American Airlines
AA1492,KCMH,KDFW,"A320, B738",02:00,American Airlines
AA3546,KCRP,KDFW,CRJ7,01:14,American Airlines
AA1256,MMCZ,KDFW,B738,02:50,American Airlines
AA3873,KDAY,KDFW,"E175, CRJ9",01:55,American Airlines
AA4923,KDRT,KDFW,CRJ7,01:05,American Airlines
AA420,KDEN,KDFW,A321,02:03,American Airlines
AA822,KDSM,KDFW,A319,02:03,American Airlines
AA2395,KVPS,KDFW,A320,01:56,American Airlines
AA1108,KDTW,KDFW,B738,02:40,American Airlines
AA133,EIDW,KDFW,"B788, B789",07:50,American Airlines
AA3744,MMDO,KDFW,E175,01:45,American Airlines
AA4896,KDRO,KDFW,E175,02:01,American Airlines
AA1341,KEGE,KDFW,A319,01:35,American Airlines
AA2059,KELP,KDFW,A319,01:40,American Airlines
AA1560,KEUG,KDFW,A320,03:20,American Airlines
AA3335,KEVV,KDFW,E175,01:25,American Airlines
AA1470,PAFA,KDFW,A321,05:00,American Airlines
AA3588,KFAR,KDFW,E175,02:11,American Airlines
AA5206,KFAY,KDFW,CRJ9,02:15,American Airlines
AA3072,KFLG,KDFW,CRJ7,01:50,American Airlines
AA606,KFLL,KDFW,A321,03:22,American Airlines
AA1386,KRSW,KDFW,B738,02:20,American Airlines
AA3084,KFSM,KDFW,E175,01:02,American Airlines
AA3389,KFWA,KDFW,E175,01:55,American Airlines
AA71,EDDF,KDFW,B772,10:37,American Airlines
AA2653 ,KFAT,KDFW,B738,03:17,American Airlines
AA3628,KGNV,KDFW,E175,02:00,American Airlines
AA3142,KGCK,KDFW,CRJ7,01:04,American Airlines
AA4820,KGTR,KDFW,CRJ7,01:20,American Airlines
AA3701,KGJT,KDFW,E175,01:41,American Airlines
AA3099,KGRI,KDFW,CRJ7,01:15,American Airlines
AA1529,KGRR,KDFW,A320,02:45,American Airlines
AA1864,KGSO,KDFW,B738,02:55,American Airlines
AA1475,KGSP,KDFW,B738,02:23,American Airlines
AA1034,MMGL,KDFW,A320,02:43,American Airlines
AA1188,MGGT,KDFW,B738,03:20,American Airlines
AA3548,KGPT,KDFW,E175,01:46,American Airlines
AA3337,KHRL,KDFW,E175,01:05,American Airlines
AA8,PHNL,KDFW,"B772, B789",07:08,American Airlines
AA3024,KHOU,KDFW,"CRJ7, E175",01:10,American Airlines
AA2551,KIAH,KDFW,E175,01:14,American Airlines
AA3463,MMBT,KDFW,E175,02:30,American Airlines
AA5266,KHSV,KDFW,E175,01:38,American Airlines
AA6363,KIDA,KDFW,CRJ7,02:20,American Airlines
AA1506,KIND,KDFW,E175,01:57,American Airlines
AA3621,KJAN,KDFW,E175,01:06,American Airlines
AA1825,KJAC,KDFW,A319,03:02,American Airlines
AA2465,KJAX,KDFW,B738,02:16,American Airlines
AA116,PHOG,KDFW,B788,06:48,American Airlines
AA1617,KMCI,KDFW,A320,01:42,American Airlines
AA1827,KEYW,KDFW,A319,02:20,American Airlines
AA3069,KGRK,KDFW,CRJ7,00:35,American Airlines
AA2208,KTYS,KDFW,A319,02:38,American Airlines
AA230,PHKO,KDFW,B788,07:23,American Airlines
AA4163,KLFT,KDFW,"CRJ7, E175",00:50,American Airlines
AA3058,KLCH,KDFW,"CRJ7, E175",00:50,American Airlines
AA3372,KLRD,KDFW,E175,01:00,American Airlines
AA654,KLAS,KDFW,A321,02:50,American Airlines
AA3719,KLAW,KDFW,CRJ7,00:35,American Airlines
AA1149,KLEX,KDFW,A319,01:45,American Airlines
AA1436,MRLB,KDFW,B738,04:00,American Airlines
AA1302,KLIT,KDFW,A319,00:55,American Airlines
AA390,EGLL,KDFW,B777-200ER,01:00,American Airlines
AA3054,KGGG,KDFW,CRJ7,00:35,American Airlines
AA3123,MMLT,KDFW,CRJ7,02:10,American Airlines
AA2459,KLAX,KDFW,"B77W, B789, A321",03:14,American Airlines
AA1444,KSDF,KDFW,A321,02:19,American Airlines
AA1251,KLBB,KDFW,A319,01:15,American Airlines
AA1538,KMSN,KDFW,A320,01:50,American Airlines
AA37,LEMD,KDFW,B789,10:00,American Airlines
AA3397,KMHK,KDFW,E175,01:00,American Airlines
AA1770,MMMZ,KDFW,A319,02:11,American Airlines
AA2768,KMFE,KDFW,B738,01:35,American Airlines
AA1758,KMEM,KDFW,B738,01:07,American Airlines
AA2200,MMMD,KDFW,A319,02:05,American Airlines
AA390,MMMX,KDFW,"B738, B38M, B752",02:50,American Airlines
AA695,KMIA,KDFW,"A321, B772, B77W, B738, B38M",03:21,American Airlines
AA977,KMDT,KDFW,A320,02:35,American Airlines
AA3673,KMAF,KDFW,E175,01:07,American Airlines
AA1733,KMKE,KDFW,A320,02:22,American Airlines
AA2220,KMSP,KDFW,B738,02:21,American Airlines
AA3834,KMSO,KDFW,"E175, B738",02:50,American Airlines
AA3678,KMOB,KDFW,E175,01:51,American Airlines
AA3644,KMLI,KDFW,E175,01:35,American Airlines
AA3373,KMLU,KDFW,E175,00:50,American Airlines
AA757,MKJS,KDFW,B738,04:03,American Airlines
AA2212,KMRY,KDFW,A319,03:00,American Airlines
AA3515,MMMY,KDFW,A320,01:21,American Airlines
AA1964,CYUL,KDFW,A320,03:10,American Airlines
AA665,KMTJ,KDFW,"B738, A319",01:35,American Airlines
AA2136,MMMM,KDFW,A319 ,02:20,American Airlines
AA3626,KMYR,KDFW,E175,02:15,American Airlines
AA1100,KBNA,KDFW,A321,01:57,American Airlines
AA1005,MYNN,KDFW,B738,03:10,American Airlines
AA1561,KEWR,KDFW,"B738, B38M, A321",03:45,American Airlines
AA2090,KMSY,KDFW,"E175, A319, A320, B738, B38M, A321",01:45,American Airlines
AA2246,KJFK,KDFW,"B738, B38M, B772",04:09,American Airlines
AA2735,KLGA,KDFW,"B738, B38M",04:06,American Airlines
AA2274,KORF,KDFW,B738,03:46,American Airlines
AA2187,MMOX,KDFW,A319,02:22,American Airlines
AA2272,KOKC,KDFW,A321,01:01,American Airlines
AA2466,KOMA,KDFW,B738,01:46,American Airlines
AA1820,KONT,KDFW,B738,02:46,American Airlines
AA1709,KMCO,KDFW,A321,02:44,American Airlines
AA2540,KPBI,KDFW,B738,03:18,American Airlines
AA2425,KPSP,KDFW,A321,02:57,American Airlines
AA2070,KECP,KDFW,A319,02:23,American Airlines
AA25,LFPG,KDFW,B788,10:24,American Airlines
AA2680,KPNS,KDFW,B738,01:56,American Airlines
AA3406,KPIA,KDFW,E175,02:10,American Airlines
AA426,KPHL,KDFW,"A321, B738",02:45,American Airlines
AA633,KPHX,KDFW,A321 ,02:26,American Airlines
AA762,KPIT,KDFW,A321,02:20,American Airlines
AA653,KPDX,KDFW,A321,03:25,American Airlines
AA2440,KPWM,KDFW,A320,03:25,American Airlines
AA2383,MBPV,KDFW,B738,04:13,American Airlines
AA4908,KPVU,KDFW,CRJ7,02:05,American Airlines
AA4131,MMPS,KDFW,E175,02:50,American Airlines
AA1215,MMPR,KDFW,B738,02:10,American Airlines
AA3884,CYQB,KDFW,E175,03:35,American Airlines
AA781,MMQT,KDFW,B738,01:55,American Airlines
AA1888,KRDU,KDFW,A321,03:08,American Airlines
AA4233,KRAP,KDFW,E175,02:19,American Airlines
AA530,KRDM,KDFW,A320,03:30,American Airlines
AA1361,KRNO,KDFW,B738,03:22,American Airlines
AA2386,KRIC,KDFW,B738,03:08,American Airlines
AA440,MHRO,KDFW,B738,03:18,American Airlines
AA239,LIRF,KDFW,B789,12:05,American Airlines
AA3278,KROW,KDFW,CRJ7,01:00,American Airlines
AA569,KSMF,KDFW,A321,03:00,American Airlines
AA1953,KSLC,KDFW,B738,03:17,American Airlines
AA3655,KSJT,KDFW,E175,00:45,American Airlines
AA1229,KSAT,KDFW,"B738, B38M, A321",01:01,American Airlines
AA1050,KSAN,KDFW,A321,03:10,American Airlines
AA1024,KSFO,KDFW,"B738, B38M, A321",03:07,American Airlines
AA1080,MROC,KDFW,"B738, B38M",04:33,American Airlines
AA1304,MMSD,KDFW,A321,02:55,American Airlines
AA1019,KSJC,KDFW,B738,03:16,American Airlines
AA2434,TJSJ,KDFW,A321,05:22,American Airlines
AA1119,KSBP,KDFW,A319,02:00,American Airlines
AA853,MMSP,KDFW,A319,02:17,American Airlines
AA676,MSLP,KDFW,A321,03:46,American Airlines
AA1382,KSNA,KDFW,"B738, B38M",02:57,American Airlines
AA842,KSBA,KDFW,A319,02:45,American Airlines
AA3237,KSAF,KDFW,CRJ7,01:44,American Airlines
AA3393,KSTS,KDFW,E175,03:10,American Airlines
AA940,SCEL,KDFW,B788,09:45,American Airlines
AA962,SBGR,KDFW,B789,10:15,American Airlines
AA2679,KSRQ,KDFW,B738,02:06,American Airlines
AA1618,KSAV,KDFW,B738,03:00,American Airlines
AA1992,KSEA,KDFW,A321,03:51,American Airlines
AA280,RKSI,KDFW,B789,12:39,American Airlines
AA128,ZSPD,KDFW,B77W,12:52,American Airlines
AA2881,KSHV,KDFW,CRJ-9,01:09,American Airlines
AA877,MMLO,KDFW,B738,01:55,American Airlines
AA499,KFSD,KDFW,A319,01:40,American Airlines
AA3084,KSBN,KDFW,CRJ7,01:50,American Airlines
AA2369,KGEG,KDFW,A320,03:38,American Airlines
AA3494,KSGF,KDFW,E170,01:24,American Airlines
AA3253,KSGU,KDFW,CRJ7,02:05,American Airlines
AA1362,KSTL,KDFW,"B738, B38M",01:43,American Airlines
AA2691,TIST,KDFW,A319,04:20,American Airlines
AA3072,KSWO,KDFW,CRJ7,00:40,American Airlines
AA533,KSYR,KDFW,A320,02:50,American Airlines
AA5124,KTLH,KDFW,CRJ9,02:25,American Airlines
AA972,KTPA,KDFW,B738,02:31,American Airlines
AA3582,MMTM,KDFW,E175,01:50,American Airlines
AA2582,MHPR,KDFW,B738,02:55,American Airlines
AA3119,KTXK,KDFW,CRJ7,00:34,American Airlines
AA176,RJTT,KDFW,B788,12:50,American Airlines
AA60,RJAA,KDFW,"B789, B788",12:46,American Airlines
AA1111,CYYZ,KDFW,A319,02:21,American Airlines
AA3708,MMTC,KDFW,E175,01:25,American Airlines
AA2720,KTUS,KDFW,A321,01:58,American Airlines
AA1813,KTUL,KDFW,CRJ9,01:20,American Airlines
AA159,MMTL,KDFW,B738,02:15,American Airlines
AA3081,KTYR,KDFW,CRJ7,00:26,American Airlines
AA1099,CYVR,KDFW,B738,04:05,American Airlines
AA130,LIPZ,KDFW,B772,10:10,American Airlines
AA3313,MMVR,KDFW,E175,02:15,American Airlines
AA3038,KACT,KDFW,CRJ7,00:30,American Airlines
AA1076,KIAD,KDFW,A321,03:32,American Airlines
AA2101,KDCA,KDFW,"A319, A320, B738, B38M, A321",03:26,American Airlines
AA1176,KICT,KDFW,B738,01:19,American Airlines
AA3197,KSPS,KDFW,CRJ7,00:35,American Airlines
AA4122,KILM,KDFW,E175,02:20,American Airlines
AA2279,KBDL,KDFW,B738,03:05,American Airlines
AA3205,KNYL,KDFW,CRJ7,02:30,American Airlines
AA3805,MMZC,KDFW,E175,01:50,American Airlines
AA3315,MMZH,KDFW,E175,02:20,American Airlines
AA3124,KLAX,KABQ,E175,01:30,American Airlines
AA694,KLAX,KATL,A321,04:05,American Airlines
AA83,KLAX,NZAA,B789,12:50,American Airlines
AA4989,KLAX,KXNA,E175,02:55,American Airlines
AA42,KLAX,YBBN,"B788, B789",13:15,American Airlines
AA2801,KLAX,MMUN,B738,04:25,American Airlines
AA2296,KLAX,KCMH,B738,04:00,American Airlines
AA3131,KLAX,KDEN,E175,01:55,American Airlines
AA6409,KLAX,KDSM,E175,03:20,American Airlines
AA6480,KLAX,KEGE,CRJ7,02:20,American Airlines
AA3043,KLAX,KELP,E175,01:35,American Airlines
AA3102,KLAX,KEUG,E175,01:40,American Airlines
AA6242,KLAX,KFLG,CRJ7,01:00,American Airlines
AA2205,KLAX,PHNL,"A321, B788",06:10,American Airlines
AA4916,KLAX,KIAH,E175,02:55,American Airlines
AA1899,KLAX,KIND,B738,03:45,American Airlines
AA4967,KLAX,KJAC,CRJ7,02:10,American Airlines
AA205,KLAX,PHOG,A321,05:55,American Airlines
AA59,KLAX,PHKO,A321,05:35,American Airlines
AA739,KLAX,KLAS,A321,01:15,American Airlines
AA265,KLAX,PHLI,A321,05:55,American Airlines
AA134,KLAX,EGLL,B77W,10:50,American Airlines
AA2546,KLAX,MMMX,B38M,03:15,American Airlines
AA315,KLAX,KMIA,"A321, B788, B738, B38M, B77W",04:10,American Airlines
AA1501,KLAX,MKJS,"A321, B738",03:55,American Airlines
AA2723,KLAX,KBNA,B738,04:05,American Airlines
AA10,KLAX,KJFK,A321,03:40,American Airlines
AA3133,KLAX,KOKC,E175,02:30,American Airlines
AA4870,KLAX,KOMA,E175,02:50,American Airlines
AA2091,KLAX,KMCO,A321,05:05,American Airlines
AA960,KLAX,KPHL,"B788, A321",05:30,American Airlines
AA1984,KLAX,KPHX,"B738, A321",01:00,American Airlines
AA1245,KLAX,KPIT,B738,04:25,American Airlines
AA3138,KLAX,KPDX,E175,01:50,American Airlines
AA764,KLAX,MMPR,A319,02:35,American Airlines
AA1535,KLAX,KRDU,B738,04:45,American Airlines
AA3048,KLAX,KSMF,E175,01:00,American Airlines
AA6285,KLAX,KSLC,E175,01:35,American Airlines
AA2028,KLAX,KSAT,"A319, E175",02:35,American Airlines
AA3046,KLAX,KSFO,E175,00:55,American Airlines
AA3195,KLAX,KSJC,E175,00:50,American Airlines
AA1568,KLAX,MMSD,A321,02:20,American Airlines
AA3050,KLAX,KSEA,E175,02:05,American Airlines
AA564,KLAX,KSTL,A319,03:20,American Airlines
AA73,KLAX,YSSY,"B789, B77W",15:20,American Airlines
AA27,KLAX,RJTT,"B788, B789",11:40,American Airlines
AA3128,KLAX,KTUS,E175,01:05,American Airlines
AA4978,KLAX,KTUL,"E175, A319",02:45,American Airlines
AA1717,KLAX,CYVR,A319,02:20,American Airlines
AA2532,KLAX,KDCA,A321,05:20,American Airlines
AA3127,KABQ,KLAX,E175,01:30,American Airlines
AA641,KATL,KLAX,A321,04:05,American Airlines
AA82,NZAA,KLAX,B789,12:50,American Airlines
AA4989,KXNA,KLAX,E175,02:55,American Airlines
AA43,YBBN,KLAX,"B788, B789",12:50,American Airlines
AA2160,MMUN,KLAX,B738,04:25,American Airlines
AA2296,KCMH,KLAX,B738,04:00,American Airlines
AA3129,KDEN,KLAX,E175,01:55,American Airlines
AA6409,KDSM,KLAX,E175,03:20,American Airlines
AA6480,KEGE,KLAX,CRJ7,02:20,American Airlines
AA3244,KELP,KLAX,E175,01:35,American Airlines
AA3102,KEUG,KLAX,E175,01:40,American Airlines
AA6339,KFLG,KLAX,CRJ7,01:00,American Airlines
AA144,PHNL,KLAX,"A321, B788",06:10,American Airlines
AA4916,KIAH,KLAX,E175,02:55,American Airlines
AA2776,KIND,KLAX,B738,03:45,American Airlines
AA4967,KJAC,KLAX,CRJ7,02:10,American Airlines
AA212,PHOG,KLAX,A321,05:55,American Airlines
AA58,PHKO,KLAX,A321,05:35,American Airlines
AA739,KLAS,KLAX,A321,01:15,American Airlines
AA266,PHLI,KLAX,A321,05:55,American Airlines
AA135,EGLL,KLAX,B77W,10:50,American Airlines
AA2547,MMMX,KLAX,B38M,03:15,American Airlines
AA314,KMIA,KLAX,"A321, B788, B738, B38M, B77W",04:10,American Airlines
AA1501,MKJS,KLAX,"A321, B738",03:55,American Airlines
AA1393,KBNA,KLAX,B738,04:05,American Airlines
AA1,KJFK,KLAX,A321,03:40,American Airlines
AA4942,KOKC,KLAX,E175,02:30,American Airlines
AA4870,KOMA,KLAX,E175,02:50,American Airlines
AA880,KMCO,KLAX,A321,05:05,American Airlines
AA1138,KPHL,KLAX,"B788, A321",05:30,American Airlines
AA463,KPHX,KLAX,"B738, A321",01:00,American Airlines
AA1245,KPIT,KLAX,B738,04:50,American Airlines
AA3135,KPDX,KLAX,E175,01:50,American Airlines
AA764,MMPR,KLAX,A319,02:35,American Airlines
AA2343,KRDU,KLAX,B738,04:45,American Airlines
AA3141,KSMF,KLAX,E175,01:00,American Airlines
AA6285,KSLC,KLAX,E175,01:35,American Airlines
AA1761,KSAT,KLAX,"A319, E175",02:35,American Airlines
AA3031,KSFO,KLAX,E175,00:55,American Airlines
AA3167,KSJC,KLAX,E175,00:50,American Airlines
AA2656,MMSD,KLAX,A321,02:20,American Airlines
AA3051,KSEA,KLAX,E175,02:05,American Airlines
AA2500,KSTL,KLAX,A319,03:20,American Airlines
AA72,YSSY,KLAX,"B789, B77W",15:20,American Airlines
AA26,RJTT,KLAX,"B788, B789",11:40,American Airlines
AA3123,KTUS,KLAX,E175,01:05,American Airlines
AA4978,KTUL,KLAX,"E175, A319",02:45,American Airlines
AA1717,CYVR,KLAX,A319,02:20,American Airlines
AA1162,KDCA,KLAX,A321,05:20,American Airlines
AA4318,KMIA,KALB,E175,02:35,American Airlines
AA3419,KMIA,TQPF,E175,02:35,American Airlines
AA409,KMIA,TAPA,"B738, B38M",03:19,American Airlines
AA1028,KMIA,TNCA,B738,02:51,American Airlines
AA636,KMIA,KATL,"A319, B738, B38M",01:20,American Airlines
AA738,KMIA,KBWI,"E175, A319, B738, B38M",02:05,American Airlines
AA112,KMIA,LEBL,B789,08:23,American Airlines
AA1125,KMIA,SKBQ,"B738, B38M",02:49,American Airlines
AA4174,KMIA,TUPJ,E175,02:25,American Airlines
AA1191,KMIA,MZBZ,B738,01:40,American Airlines
AA4427,KMIA,KXNA,E175,02:20,American Airlines
AA308,KMIA,TXKF,A319,02:15,American Airlines
AA3422,KMIA,KBHM,E175,01:30,American Airlines
AA1137,KMIA,SKBO,"B38M, B752",03:40,American Airlines
AA583,KMIA,TNCB,A319,02:35,American Airlines
AA1089,KMIA,TBPB,"B738, B38M, B752",03:43,American Airlines
AA907,KMIA,SAEZ,"B788, B77W",08:50,American Airlines
AA4610,KMIA,KBUF,E175,02:35,American Airlines
AA919,KMIA,SKCL,"B38M, B752",03:15,American Airlines
AA1319,KMIA,MUCM,"A319, B38M",00:55,American Airlines
AA158,KMIA,MMUN,"B738, B38M, B752, B772",01:57,American Airlines
AA1145,KMIA,SKCG,"B738, B38M",02:45,American Airlines
AA1300,KMIA,MWCR,B738,01:34,American Airlines
AA3418,KMIA,KCID,E175,02:45,American Airlines
AA1164,KMIA,KCHS,E175,01:22,American Airlines
AA3444,KMIA,KCVG,E175,02:10,American Airlines
AA363,KMIA,KCLE,"E175, B38M",02:18,American Airlines
AA3376,KMIA,KCMH,E175,02:10,American Airlines
AA1451,KMIA,MMCZ,A319,01:15,American Airlines
AA2739,KMIA,TNCC,B738,02:35,American Airlines
AA1639,KMIA,KDEN,B738,03:35,American Airlines
AA3558,KMIA,KDSM,E175,02:50,American Airlines
AA3961,KMIA,KVPS,E175,01:25,American Airlines
AA2490,KMIA,KDTW,B738,03:03,American Airlines
AA3448,KMIA,TDPD,E175,03:00,American Airlines
AA2600,KMIA,KEGE,A319,04:45,American Airlines
AA2691,KMIA,TFFF,B738,03:05,American Airlines
AA3453,KMIA,MYGF,E175,00:30,American Airlines
AA3607,KMIA,KGNV,E175,00:51,American Airlines
AA3884,KMIA,MYEF,E175,00:50,American Airlines
AA1513,KMIA,SYCJ,B38M,04:19,American Airlines
AA3537,KMIA,MYEM,E175,00:50,American Airlines
AA3381,KMIA,KGRR,E175,02:35,American Airlines
AA3754,KMIA,KGSO,E175,01:50,American Airlines
AA3807,KMIA,KGSP,E175,01:25,American Airlines
AA1546,KMIA,TGPY,B738,03:15,American Airlines
AA343,KMIA,MGGT,"B738, B38M",02:47,American Airlines
AA883,KMIA,SEGU,"B38M, B752",04:00,American Airlines
AA17,KMIA,MUHA,"A319, B738, B38M",00:45,American Airlines
AA1491,KMIA,MUHG,B738,01:17,American Airlines
AA2230,KMIA,KIAH,"A319, B738, B38M",02:50,American Airlines
AA4280,KMIA,KHSV,E175,01:35,American Airlines
AA2518,KMIA,KIND,B738,02:15,American Airlines
AA1161,KMIA,KJAX,"B738, A320, E175, B38M",00:55,American Airlines
AA670,KMIA,KMCI,B738,02:40,American Airlines
AA3888,KMIA,KEYW,E175,00:35,American Airlines
AA1082,KMIA,MKJP,"A319, B738, B38M",01:40,American Airlines
AA3915,KMIA,KTYS,E175,01:35,American Airlines
AA3071,KMIA,MDLR,A319,02:10,American Airlines
AA462,KMIA,KLAS,"B38M, A321, B77W, B772, B788",05:07,American Airlines
AA3919,KMIA,KLEX,E175,01:55,American Airlines
AA1377,KMIA,MRLB,"B738, B38M",02:30,American Airlines
AA385,KMIA,SPJC,"A321, B752",05:15,American Airlines
AA4349,KMIA,KLIT,E175,02:05,American Airlines
AA38,KMIA,EGLL,B772,08:12,American Airlines
AA647,KMIA,KSDF,"A319, B38M",02:00,American Airlines
AA3593,KMIA,KMSN,E175,02:45,American Airlines
AA68,KMIA,LEMD,B788,07:53,American Airlines
AA899,KMIA,MNMG,"B738, B38M",02:15,American Airlines
AA3516,KMIA,MYAM,E175,01:19,American Airlines
AA1127,KMIA,SKRG,B38M,02:55,American Airlines
AA1551,KMIA,KMEM,B738,02:10,American Airlines
AA2196,KMIA,MMMD,A319,01:30,American Airlines
AA257,KMIA,MMMX,"B738, B38M, B752",03:38,American Airlines
AA3904,KMIA,KMDT,E175,02:25,American Airlines
AA840,KMIA,KMKE,A319,02:40,American Airlines
AA458,KMIA,KMSP,B738,03:10,American Airlines
AA2611,KMIA,MKJS,B738,01:49,American Airlines
AA3947,KMIA,MMMY,E175,02:40,American Airlines
AA989,KMIA,SUMU,B788,09:05,American Airlines
AA2702,KMIA,CYUL,A319,03:47,American Airlines
AA309,KMIA,KBNA,B738,01:45,American Airlines
AA1284,KMIA,MYNN,"A319, A320, A321, B738, E175",00:40,American Airlines
AA329,KMIA,KMSY,"E175, B738, B38M",01:30,American Airlines
AA2452,KMIA,KJFK,"B738, B38M, B752, B772, B788",02:58,American Airlines
AA1117,KMIA,KLGA,"E175, B738, B38M",02:50,American Airlines
AA322,KMIA,KEWR,"B738, B38M, A321",02:45,American Airlines
AA775,KMIA,KORF,"E175, A319, B38M",01:45,American Airlines
AA3515,KMIA,MYEH,E175,00:39,American Airlines
AA4007,KMIA,MKBS,E175,01:20,American Airlines
AA4348,KMIA,KOKC,E175,02:35,American Airlines
AA2827,KMIA,KOMA,A319,02:55,American Airlines
AA359,KMIA,KMCO,"A319, A321, B738, B38M",01:10,American Airlines
AA959,KMIA,MPTO,"A319, B752",03:02,American Airlines
AA62,KMIA,LFPG,B772,09:10,American Airlines
AA3762,KMIA,KPNS,E175,01:15,American Airlines
AA1135,KMIA,SKPE,A319,03:40,American Airlines
AA925,KMIA,KPHL,"B738, A321",02:10,American Airlines
AA1454,KMIA,KPHX,"A321, B738, B38M",04:05,American Airlines
AA1143,KMIA,KPIT,A319,02:10,American Airlines
AA2337,KMIA,TFFR,B738,02:55,American Airlines
AA819,KMIA,MTPP,A320,01:35,American Airlines
AA338,KMIA,TTPP,B38M,03:48,American Airlines
AA2888,KMIA,KPDX,A321,05:25,American Airlines
AA1527,KMIA,MBPV,"B738, B38M",01:20,American Airlines
AA2329,KMIA,MDPP,A321,01:40,American Airlines
AA2548,KMIA,MDPC,A321,02:31,American Airlines
AA473,KMIA,SEQM,"B38M, B752",03:45,American Airlines
AA638,KMIA,KRDU,"A319, B738, B38M",01:35,American Airlines
AA983,KMIA,KRIC,"E175, B738, B38M",01:50,American Airlines
AA905,KMIA,SBGL,B772,08:20,American Airlines
AA871,KMIA,MHRO,A319,01:40,American Airlines
AA4691,KMIA,KROC,E175,02:35,American Airlines
AA52,KMIA,LIRF,B772,09:30,American Airlines
AA2883,KMIA,KSMF,A321,06:05,American Airlines
AA1427,KMIA,TVSA,"A319, B738",03:10,American Airlines
AA2916,KMIA,KSLC,"B738, B38M, A321",04:55,American Airlines
AA1468,KMIA,KSAT,"B738, E175",02:25,American Airlines
AA2578,KMIA,KSAN,"A321, B38M",05:42,American Airlines
AA2035,KMIA,KSFO,A321,06:23,American Airlines
AA979,KMIA,MROC,"B738, B38M, B752",02:25,American Airlines
AA967,KMIA,TJSJ,"B738, B38M",02:30,American Airlines
AA939,KMIA,MHLM,"B738, B38M",01:55,American Airlines
AA1751,KMIA,MSLP,"B738, B38M",02:15,American Airlines
AA2928,KMIA,KSNA,B738,05:25,American Airlines
AA1579,KMIA,MUSC,B738,00:45,American Airlines
AA957,KMIA,SCEL,B772,08:15,American Airlines
AA1519,KMIA,MUCU,A319,01:10,American Airlines
AA1389,KMIA,MDST,B738,02:09,American Airlines
AA368,KMIA,MDSD,"B738, B38M",01:50,American Airlines
AA929,KMIA,SBGR,B772,08:10,American Airlines
AA4071,KMIA,KSRQ,E175,01:00,American Airlines
AA3492,KMIA,KSAV,E175,01:05,American Airlines
AA305,KMIA,KSEA,"B38M, A321",05:35,American Airlines
AA1136,KMIA,TNCM,"B738, B752",02:52,American Airlines
AA3815,KMIA,MBSC,E175,01:30,American Airlines
AA3846,KMIA,KSGF,E175,02:50,American Airlines
AA2211,KMIA,TISX,"B738, B38M",02:43,American Airlines
AA2440,KMIA,TKPK,"B738, B38M",03:56,American Airlines
AA1594,KMIA,KSTL,"B738, B38M",02:20,American Airlines
AA2295,KMIA,TLPL,"B738, B38M",03:41,American Airlines
AA1391,KMIA,TIST,"B738, B38M, B752",02:25,American Airlines
AA4312,KMIA,KSYR,E175,02:35,American Airlines
AA3585,KMIA,KTLH,E175,01:00,American Airlines
AA1193,KMIA,KTPA,"E175, A319, B738, B38M",00:45,American Airlines
AA517,KMIA,MHPR,"A319, B738, B38M",02:00,American Airlines
AA1246,KMIA,CYYZ,"A319, B752",03:23,American Airlines
AA4311,KMIA,KTUL,E175,02:30,American Airlines
AA172,KMIA,MMTL,B738,01:25,American Airlines
AA1807,KMIA,MUVR,B738,01:04,American Airlines
AA1481,KMIA,KDCA,"E175, B738, B38M",02:00,American Airlines
AA3396,KMIA,KHPN,E175,02:25,American Airlines
AA3773,KMIA,KICT,E175,02:45,American Airlines
AA4330,KMIA,KILM,E175,01:20,American Airlines
AA1272,KMIA,KBDL,B738,03:19,American Airlines
AA4324,KALB,KMIA,E175,02:35,American Airlines
AA3419,TQPF,KMIA,E175,02:35,American Airlines
AA2580,TAPA,KMIA,"B738, B38M",03:19,American Airlines
AA1028,TNCA,KMIA,B738,02:51,American Airlines
AA1046,KATL,KMIA,"A319, B738, B38M",01:20,American Airlines
AA1183,KBWI,KMIA,"E175, A319, B738, B38M",02:05,American Airlines
AA113,LEBL,KMIA,B789,08:23,American Airlines
AA1124,SKBQ,KMIA,"B738, B38M",02:49,American Airlines
AA4174,TUPJ,KMIA,E175,02:25,American Airlines
AA2132,MZBZ,KMIA,B738,01:40,American Airlines
AA4270,KXNA,KMIA,E175,02:20,American Airlines
AA1325,TXKF,KMIA,A319,02:15,American Airlines
AA3422,KBHM,KMIA,E175,01:30,American Airlines
AA916,SKBO,KMIA,"B38M, B752",03:40,American Airlines
